Topics,Alpha,Beta,Coherence
3,0.01,0.01,0.23079352731172523
3,0.01,0.31,0.23366950521659277
3,0.01,0.61,0.20085626075452476
3,0.01,0.9099999999999999,0.17862256471128432
3,0.01,symmetric,0.2453853951746754
3,0.31,0.01,0.3771240753473409
3,0.31,0.31,0.33612841858782705
3,0.31,0.61,0.3503475229746025
3,0.31,0.9099999999999999,0.2032960418657441
3,0.31,symmetric,0.33612841858782705
3,0.61,0.01,0.3274086030982147
3,0.61,0.31,0.3436367296392948
3,0.61,0.61,0.34251489497697535
3,0.61,0.9099999999999999,0.3412207805919789
3,0.61,symmetric,0.3380609364068326
3,0.9099999999999999,0.01,0.36383112496274145
3,0.9099999999999999,0.31,0.3355658443274592
3,0.9099999999999999,0.61,0.3392918183823468
3,0.9099999999999999,0.9099999999999999,0.3494922745927846
3,0.9099999999999999,symmetric,0.34629594898092647
3,symmetric,0.01,0.3434913144630454
3,symmetric,0.31,0.34783890217570673
3,symmetric,0.61,0.3441247839129855
3,symmetric,0.9099999999999999,0.35914111750173444
3,symmetric,symmetric,0.3891514637779947
3,asymmetric,0.01,0.41433554240112486
3,asymmetric,0.31,0.26522024044248166
3,asymmetric,0.61,0.24231492397222998
3,asymmetric,0.9099999999999999,0.24413525821828755
3,asymmetric,symmetric,0.24830905533492761
4,0.01,0.01,0.35209698155947944
4,0.01,0.31,0.34332470435567186
4,0.01,0.61,0.3239831418958583
4,0.01,0.9099999999999999,0.35855634829560673
4,0.01,symmetric,0.324942293770606
4,0.31,0.01,0.36581843212463344
4,0.31,0.31,0.34296650326556105
4,0.31,0.61,0.3519956399029014
4,0.31,0.9099999999999999,0.30662855369423564
4,0.31,symmetric,0.34665967521042923
4,0.61,0.01,0.3323945593723416
4,0.61,0.31,0.40058398096323683
4,0.61,0.61,0.40036260388499767
4,0.61,0.9099999999999999,0.3815398329498625
4,0.61,symmetric,0.3794843611475743
4,0.9099999999999999,0.01,0.314164105262807
4,0.9099999999999999,0.31,0.39372953862275595
4,0.9099999999999999,0.61,0.3838696610610407
4,0.9099999999999999,0.9099999999999999,0.3960464114910829
4,0.9099999999999999,symmetric,0.3773148230238534
4,symmetric,0.01,0.35605254222902377
4,symmetric,0.31,0.34182209631877397
4,symmetric,0.61,0.34413166702871023
4,symmetric,0.9099999999999999,0.30808360627778353
4,symmetric,symmetric,0.3390098086739318
4,asymmetric,0.01,0.3512168396341792
4,asymmetric,0.31,0.3694796859770371
4,asymmetric,0.61,0.3664419572324966
4,asymmetric,0.9099999999999999,0.2901250111808561
4,asymmetric,symmetric,0.3815843527452039
5,0.01,0.01,0.35483083517994823
5,0.01,0.31,0.2940438388311618
5,0.01,0.61,0.3343281654592282
5,0.01,0.9099999999999999,0.34014904052399053
5,0.01,symmetric,0.34344517694169163
5,0.31,0.01,0.35156903604403444
5,0.31,0.31,0.35883766231972575
5,0.31,0.61,0.3764064659509125
5,0.31,0.9099999999999999,0.35419255207888806
5,0.31,symmetric,0.3362847597030566
5,0.61,0.01,0.3178796689483043
5,0.61,0.31,0.34882999525339364
5,0.61,0.61,0.3624368493488347
5,0.61,0.9099999999999999,0.356132530461954
5,0.61,symmetric,0.344253602862011
5,0.9099999999999999,0.01,0.3487231705537159
5,0.9099999999999999,0.31,0.3845133341600559
5,0.9099999999999999,0.61,0.38977314735444735
5,0.9099999999999999,0.9099999999999999,0.40036546882477
5,0.9099999999999999,symmetric,0.3856675550811322
5,symmetric,0.01,0.3183479825204639
5,symmetric,0.31,0.35241975638335576
5,symmetric,0.61,0.36560830923858056
5,symmetric,0.9099999999999999,0.3456121387805538
5,symmetric,symmetric,0.3150961244089979
5,asymmetric,0.01,0.3505778344660543
5,asymmetric,0.31,0.4313663431234985
5,asymmetric,0.61,0.34806022722445934
5,asymmetric,0.9099999999999999,0.3832869267186506
5,asymmetric,symmetric,0.33022883251730584
6,0.01,0.01,0.3296875226427669
6,0.01,0.31,0.3700457701415021
6,0.01,0.61,0.31987410012884004
6,0.01,0.9099999999999999,0.39950197248927366
6,0.01,symmetric,0.344804307828527
6,0.31,0.01,0.3714932262158866
6,0.31,0.31,0.3882678163751882
6,0.31,0.61,0.4234736141038064
6,0.31,0.9099999999999999,0.44544818159302296
6,0.31,symmetric,0.34356159507377154
6,0.61,0.01,0.3186664095118112
6,0.61,0.31,0.34182691561120504
6,0.61,0.61,0.33206082316098945
6,0.61,0.9099999999999999,0.33916948230823246
