Topics,Alpha,Beta,Coherence
3,0.01,0.01,0.3242098706345135
3,0.01,0.31,0.31966677712801256
3,0.01,0.61,0.3079677406744682
3,0.01,0.9099999999999999,0.3183535026577156
3,0.01,symmetric,0.3137848779087011
3,0.31,0.01,0.3255616116453412
3,0.31,0.31,0.3221406337703497
3,0.31,0.61,0.3112048020436689
3,0.31,0.9099999999999999,0.3083562177654085
3,0.31,symmetric,0.3166858526276534
3,0.61,0.01,0.32736846613476817
3,0.61,0.31,0.3189919013884101
3,0.61,0.61,0.3167947939136793
3,0.61,0.9099999999999999,0.32490998034714014
3,0.61,symmetric,0.3074777986574558
3,0.9099999999999999,0.01,0.3183627325398365
3,0.9099999999999999,0.31,0.2974263393528294
3,0.9099999999999999,0.61,0.3357317041823138
3,0.9099999999999999,0.9099999999999999,0.3636640332343184
3,0.9099999999999999,symmetric,0.3096382288910138
3,symmetric,0.01,0.31840166349866017
3,symmetric,0.31,0.3176377214210988
3,symmetric,0.61,0.313939838545053
3,symmetric,0.9099999999999999,0.3214363344626608
3,symmetric,symmetric,0.30710180687356664
3,asymmetric,0.01,0.3542340760720713
3,asymmetric,0.31,0.2812126215394605
3,asymmetric,0.61,0.26118500663440725
3,asymmetric,0.9099999999999999,0.21860938024217633
3,asymmetric,symmetric,0.2920754797982216
4,0.01,0.01,0.3086547013660161
4,0.01,0.31,0.32611563329403875
4,0.01,0.61,0.32246720918488236
4,0.01,0.9099999999999999,0.28667051660571
4,0.01,symmetric,0.32587010954674434
4,0.31,0.01,0.3108524640638378
4,0.31,0.31,0.32403680009107116
4,0.31,0.61,0.34215823965476316
4,0.31,0.9099999999999999,0.32165541891988114
4,0.31,symmetric,0.33110598190847784
4,0.61,0.01,0.34561272857613706
4,0.61,0.31,0.3382215892823035
4,0.61,0.61,0.33763655392218017
4,0.61,0.9099999999999999,0.3305135131474171
4,0.61,symmetric,0.38845162411024864
4,0.9099999999999999,0.01,0.3385425753257861
4,0.9099999999999999,0.31,0.3176692837546926
4,0.9099999999999999,0.61,0.3424109996943131
4,0.9099999999999999,0.9099999999999999,0.30748643411821064
4,0.9099999999999999,symmetric,0.3450395136474138
4,symmetric,0.01,0.29893010992650537
4,symmetric,0.31,0.3345438400674572
4,symmetric,0.61,0.3257927409168375
4,symmetric,0.9099999999999999,0.32761829762324035
4,symmetric,symmetric,0.30776469039897825
4,asymmetric,0.01,0.3043488247280607
4,asymmetric,0.31,0.31426813679167376
4,asymmetric,0.61,0.325585775965162
4,asymmetric,0.9099999999999999,0.28124636335857894
4,asymmetric,symmetric,0.30650313268983015
5,0.01,0.01,0.32452112644890285
5,0.01,0.31,0.27692058515516543
5,0.01,0.61,0.28717804806463426
5,0.01,0.9099999999999999,0.3340706098700498
5,0.01,symmetric,0.27281306348867795
5,0.31,0.01,0.31880979743741855
5,0.31,0.31,0.3183792919158552
5,0.31,0.61,0.3258346332477492
5,0.31,0.9099999999999999,0.3382677812884699
5,0.31,symmetric,0.30606844376591424
5,0.61,0.01,0.34149582164409065
5,0.61,0.31,0.3673729580413593
5,0.61,0.61,0.31622740647812914
5,0.61,0.9099999999999999,0.3299626829337322
5,0.61,symmetric,0.300262855217833
5,0.9099999999999999,0.01,0.3595587161195321
5,0.9099999999999999,0.31,0.37165903437017156
5,0.9099999999999999,0.61,0.34155679457165816
5,0.9099999999999999,0.9099999999999999,0.31678470147744175
5,0.9099999999999999,symmetric,0.34934403025418936
5,symmetric,0.01,0.3141632804336816
5,symmetric,0.31,0.315636601868522
5,symmetric,0.61,0.33026963518743085
5,symmetric,0.9099999999999999,0.29309470063176957
5,symmetric,symmetric,0.28543019814865916
5,asymmetric,0.01,0.3006953990225419
5,asymmetric,0.31,0.34175665090264584
5,asymmetric,0.61,0.310244797079154
5,asymmetric,0.9099999999999999,0.3000240798107005
5,asymmetric,symmetric,0.29929372004030375
6,0.01,0.01,0.3190552862198676
6,0.01,0.31,0.3058455586087074
6,0.01,0.61,0.2916618750952987
6,0.01,0.9099999999999999,0.30271630413201017
6,0.01,symmetric,0.2996386656857491
6,0.31,0.01,0.2959671973579507
6,0.31,0.31,0.32344627474503224
6,0.31,0.61,0.3129385279491107
6,0.31,0.9099999999999999,0.3368375220445423
6,0.31,symmetric,0.292654885095501
6,0.61,0.01,0.34103175894897636
6,0.61,0.31,0.321665564428198
6,0.61,0.61,0.33039021680776925
6,0.61,0.9099999999999999,0.32880686754914756
6,0.61,symmetric,0.32869043280873217
6,0.9099999999999999,0.01,0.3423177605521217
6,0.9099999999999999,0.31,0.35019438536240743
6,0.9099999999999999,0.61,0.34618923271506036
6,0.9099999999999999,0.9099999999999999,0.30334350778383323
6,0.9099999999999999,symmetric,0.3369372073625699
6,symmetric,0.01,0.32042549157229033
6,symmetric,0.31,0.31821398731685213
6,symmetric,0.61,0.3140428377296716
6,symmetric,0.9099999999999999,0.33451413462535823
6,symmetric,symmetric,0.3070564148881522
6,asymmetric,0.01,0.35870484770470773
6,asymmetric,0.31,0.3342944433371023
6,asymmetric,0.61,0.3824049758879046
6,asymmetric,0.9099999999999999,0.3232255207153086
6,asymmetric,symmetric,0.3267366786901744
7,0.01,0.01,0.2859477883724542
7,0.01,0.31,0.3310649581244223
7,0.01,0.61,0.35192861657840513
7,0.01,0.9099999999999999,0.34957879201525727
7,0.01,symmetric,0.305436006361579
7,0.31,0.01,0.30982755793894895
7,0.31,0.31,0.3074499134683251
7,0.31,0.61,0.31352047645956976
7,0.31,0.9099999999999999,0.309888833978939
7,0.31,symmetric,0.31310648397557117
7,0.61,0.01,0.3533334435165484
7,0.61,0.31,0.37497648467712896
7,0.61,0.61,0.29689240335716444
7,0.61,0.9099999999999999,0.32840290030152686
7,0.61,symmetric,0.35856304464660516
7,0.9099999999999999,0.01,0.3306712596258662
7,0.9099999999999999,0.31,0.36443278658091416
7,0.9099999999999999,0.61,0.3479710692182683
7,0.9099999999999999,0.9099999999999999,0.3673536716003994
7,0.9099999999999999,symmetric,0.35193158281367914
7,symmetric,0.01,0.3038909468291238
7,symmetric,0.31,0.30375052786008994
7,symmetric,0.61,0.31688640688390934
7,symmetric,0.9099999999999999,0.3208781105970845
7,symmetric,symmetric,0.30254319454028755
7,asymmetric,0.01,0.30290945431887656
7,asymmetric,0.31,0.31052101909399266
7,asymmetric,0.61,0.3082574077945156
7,asymmetric,0.9099999999999999,0.32339133525300856
7,asymmetric,symmetric,0.32381065511886203
8,0.01,0.01,0.3162015683011734
8,0.01,0.31,0.3067604410550058
8,0.01,0.61,0.32895807629748863
8,0.01,0.9099999999999999,0.3370660489118284
8,0.01,symmetric,0.314448024865125
8,0.31,0.01,0.3164492602757851
8,0.31,0.31,0.30844028779144156
8,0.31,0.61,0.3174085906704414
8,0.31,0.9099999999999999,0.32338363448316465
8,0.31,symmetric,0.3171435329827508
8,0.61,0.01,0.3556472557139569
8,0.61,0.31,0.34785540989114705
8,0.61,0.61,0.3403376466080257
8,0.61,0.9099999999999999,0.35186580713938553
8,0.61,symmetric,0.35560143745407563
8,0.9099999999999999,0.01,0.3565696187411579
8,0.9099999999999999,0.31,0.3525321126259187
8,0.9099999999999999,0.61,0.36198774089264885
8,0.9099999999999999,0.9099999999999999,0.34550395065191564
8,0.9099999999999999,symmetric,0.3241747608525116
8,symmetric,0.01,0.30910540271907655
8,symmetric,0.31,0.2942908680996825
8,symmetric,0.61,0.30260003480686387
8,symmetric,0.9099999999999999,0.3089426875042356
8,symmetric,symmetric,0.30104917463049957
8,asymmetric,0.01,0.33033936459359947
8,asymmetric,0.31,0.3263816481164079
8,asymmetric,0.61,0.3227878789175469
8,asymmetric,0.9099999999999999,0.32904668423675715
8,asymmetric,symmetric,0.3279805002580094
9,0.01,0.01,0.30190489526420317
9,0.01,0.31,0.32790884101943624
9,0.01,0.61,0.3087617853407927
9,0.01,0.9099999999999999,0.3098699318026912
9,0.01,symmetric,0.2959970691858016
9,0.31,0.01,0.28964878056731613
9,0.31,0.31,0.3107665162595188
9,0.31,0.61,0.3197003550195693
9,0.31,0.9099999999999999,0.3457658505330713
9,0.31,symmetric,0.2934027379882955
9,0.61,0.01,0.32979290438820125
9,0.61,0.31,0.37479386457499764
9,0.61,0.61,0.3352018935872759
9,0.61,0.9099999999999999,0.3395927142528695
9,0.61,symmetric,0.3343133443289013
9,0.9099999999999999,0.01,0.34108029949094565
9,0.9099999999999999,0.31,0.35974554412754006
9,0.9099999999999999,0.61,0.3693108835844937
9,0.9099999999999999,0.9099999999999999,0.351107763562676
9,0.9099999999999999,symmetric,0.32647255954416426
9,symmetric,0.01,0.32371786041672207
9,symmetric,0.31,0.30011392914781637
9,symmetric,0.61,0.2920453911091271
9,symmetric,0.9099999999999999,0.3308214960781335
9,symmetric,symmetric,0.3038777481073913
9,asymmetric,0.01,0.3209013432828923
9,asymmetric,0.31,0.31451573366017804
9,asymmetric,0.61,0.31762223403913376
9,asymmetric,0.9099999999999999,0.3224696443662474
9,asymmetric,symmetric,0.3416281169491748
10,0.01,0.01,0.32183977440038364
10,0.01,0.31,0.3133222341090142
10,0.01,0.61,0.32166650757197685
10,0.01,0.9099999999999999,0.2943978232636558
10,0.01,symmetric,0.3167804250177383
10,0.31,0.01,0.32438723901468597
10,0.31,0.31,0.3026252806811296
10,0.31,0.61,0.30200883405429185
10,0.31,0.9099999999999999,0.34020871494220845
10,0.31,symmetric,0.30007134600558294
10,0.61,0.01,0.3300942093217889
10,0.61,0.31,0.3508740603541958
10,0.61,0.61,0.3575446594617827
10,0.61,0.9099999999999999,0.34924006104011285
10,0.61,symmetric,0.31665044372271256
10,0.9099999999999999,0.01,0.32578290045199737
10,0.9099999999999999,0.31,0.32119808669664196
10,0.9099999999999999,0.61,0.34271845142946405
10,0.9099999999999999,0.9099999999999999,0.3242929941975186
10,0.9099999999999999,symmetric,0.3293914761684059
10,symmetric,0.01,0.3071585152055681
10,symmetric,0.31,0.32130269335210315
10,symmetric,0.61,0.3009881815384675
10,symmetric,0.9099999999999999,0.2981775163686716
10,symmetric,symmetric,0.33248501817867493
10,asymmetric,0.01,0.2974036650270801
10,asymmetric,0.31,0.31333627877985337
10,asymmetric,0.61,0.31312120818209743
10,asymmetric,0.9099999999999999,0.3282195025025564
10,asymmetric,symmetric,0.2967104020675447
11,0.01,0.01,0.3102301970203237
11,0.01,0.31,0.31776163109944655
11,0.01,0.61,0.3497876044115031
11,0.01,0.9099999999999999,0.34759815098625535
11,0.01,symmetric,0.29823169567415314
11,0.31,0.01,0.29410600164692685
11,0.31,0.31,0.31658272018983763
11,0.31,0.61,0.32415166322373085
11,0.31,0.9099999999999999,0.32443825521181324
11,0.31,symmetric,0.30038012827831767
11,0.61,0.01,0.3257637442167887
11,0.61,0.31,0.3498594634982939
11,0.61,0.61,0.35271521658927224
11,0.61,0.9099999999999999,0.3443919661733577
11,0.61,symmetric,0.3285096237212147
11,0.9099999999999999,0.01,0.3213210851967753
11,0.9099999999999999,0.31,0.33617008369517826
11,0.9099999999999999,0.61,0.3218018559648847
11,0.9099999999999999,0.9099999999999999,0.3347801990436616
11,0.9099999999999999,symmetric,0.35075710338949334
11,symmetric,0.01,0.34279132733552803
11,symmetric,0.31,0.2907121121429636
11,symmetric,0.61,0.3436138308601729
11,symmetric,0.9099999999999999,0.3444386670499218
11,symmetric,symmetric,0.31032787156264957
11,asymmetric,0.01,0.3113688512871738
11,asymmetric,0.31,0.3045272489507619
11,asymmetric,0.61,0.32723574183002435
11,asymmetric,0.9099999999999999,0.28429984698695115
11,asymmetric,symmetric,0.2872351548673021
