Topics,Alpha,Beta,Coherence
4,0.05,0.05,0.33631868563532347
4,0.05,0.1,0.2778665436179576
4,0.05,0.5,0.35719703557131266
4,0.05,1.5,0.32343505645886556
4,0.05,10,0.4342996744746408
4,0.05,symmetric,0.3219285425784259
4,0.1,0.05,0.3124818076802482
4,0.1,0.1,0.3171825725974471
4,0.1,0.5,0.32821008045750466
4,0.1,1.5,0.33115818535604197
4,0.1,10,0.354925145282707
4,0.1,symmetric,0.32190364746027816
4,0.5,0.05,0.325880714880787
4,0.5,0.1,0.3492219762994484
4,0.5,0.5,0.34373248805954987
4,0.5,1.5,0.33394158445403466
4,0.5,10,0.48285297306290265
4,0.5,symmetric,0.35741835165986285
4,1.5,0.05,0.3376554088146848
4,1.5,0.1,0.2884036178949777
4,1.5,0.5,0.2992303382144172
4,1.5,1.5,0.3323254113589683
4,1.5,10,0.3366603293979151
4,1.5,symmetric,0.28056032960018124
4,10,0.05,0.25087974161941673
4,10,0.1,0.24897622144986004
4,10,0.5,0.2693414453477106
4,10,1.5,0.25832738579060033
4,10,10,0.20486028127526307
4,10,symmetric,0.26087152103191635
4,symmetric,0.05,0.31488256031824835
4,symmetric,0.1,0.3202246844507494
4,symmetric,0.5,0.333778806640604
4,symmetric,1.5,0.33617629097773133
4,symmetric,10,0.5768507721641245
4,symmetric,symmetric,0.35043432683767095
4,asymmetric,0.05,0.3549130094362461
4,asymmetric,0.1,0.3518182801263794
4,asymmetric,0.5,0.41454467247866056
4,asymmetric,1.5,0.3497209652386657
4,asymmetric,10,0.5426012804335438
4,asymmetric,symmetric,0.444161230733152
5,0.05,0.05,0.3007827477084884
5,0.05,0.1,0.33599867960713403
5,0.05,0.5,0.32558267989464235
5,0.05,1.5,0.30850363359078325
5,0.05,10,0.35742176572863976
5,0.05,symmetric,0.3000633743172372
5,0.1,0.05,0.32522697763354513
5,0.1,0.1,0.3480202001875189
5,0.1,0.5,0.31039990635524245
5,0.1,1.5,0.3108619830472108
5,0.1,10,0.4880846345128592
5,0.1,symmetric,0.32754677789531056
5,0.5,0.05,0.32488421279673696
5,0.5,0.1,0.335294065541521
5,0.5,0.5,0.3248307387420478
5,0.5,1.5,0.3337216141730156
5,0.5,10,0.45343345981160804
5,0.5,symmetric,0.3209040403169549
5,1.5,0.05,0.33231362045537705
5,1.5,0.1,0.34219454250198317
5,1.5,0.5,0.35406828055581707
5,1.5,1.5,0.37536574956574337
5,1.5,10,0.361170346674923
5,1.5,symmetric,0.3567158303871654
5,10,0.05,0.2680689258591963
5,10,0.1,0.26882385260887354
5,10,0.5,0.2506806946700505
5,10,1.5,0.22655187148655043
5,10,10,0.2514841849506903
5,10,symmetric,0.2449638742905568
5,symmetric,0.05,0.3137964547147526
5,symmetric,0.1,0.3153939475155906
5,symmetric,0.5,0.3010190487252978
5,symmetric,1.5,0.30770623180727796
5,symmetric,10,0.5194625353661236
5,symmetric,symmetric,0.3059487393486988
5,asymmetric,0.05,0.3685936181810985
5,asymmetric,0.1,0.37098839026924624
5,asymmetric,0.5,0.32890131842092113
5,asymmetric,1.5,0.40321766270707754
5,asymmetric,10,0.4397170577676067
5,asymmetric,symmetric,0.3264403713416774
6,0.05,0.05,0.3165824590697347
6,0.05,0.1,0.35815078433938957
6,0.05,0.5,0.2763105512493312
6,0.05,1.5,0.30302187202156206
6,0.05,10,0.317746800963905
6,0.05,symmetric,0.3383557625924625
6,0.1,0.05,0.33248844202365335
