Topics,Alpha,Beta,Coherence
4,0.05,0.05,0.3171118056925175
4,0.05,0.1,0.27855240322566865
4,0.05,0.5,0.32101787644535557
4,0.05,1.5,0.28206398055378984
4,0.05,10,0.30854515842701247
4,0.05,symmetric,0.30052437214148886
4,0.1,0.05,0.30784725629871224
4,0.1,0.1,0.28272787279763395
4,0.1,0.5,0.3244873179397181
4,0.1,1.5,0.3258315549776678
4,0.1,10,0.2983093435624774
4,0.1,symmetric,0.2785414349456862
4,0.5,0.05,0.33869740720640396
4,0.5,0.1,0.3318212161319273
4,0.5,0.5,0.32418713768390883
4,0.5,1.5,0.3262759854628139
4,0.5,10,0.30897001248342765
4,0.5,symmetric,0.3238583314513845
4,1.5,0.05,0.3114402790542145
4,1.5,0.1,0.3161742109436788
4,1.5,0.5,0.3301828924496131
4,1.5,1.5,0.3220035852924924
4,1.5,10,0.301467675461371
4,1.5,symmetric,0.3223497267831014
4,10,0.05,0.287068488918226
4,10,0.1,0.27292282063100415
4,10,0.5,0.2537667835817212
4,10,1.5,0.21049110018161232
4,10,10,0.2524303459336751
4,10,symmetric,0.28595297732840386
4,symmetric,0.05,0.3176176716712881
4,symmetric,0.1,0.2980470256652275
4,symmetric,0.5,0.3195289126106085
4,symmetric,1.5,0.3299197465609789
4,symmetric,10,0.29692063522572687
4,symmetric,symmetric,0.3154981729052749
4,asymmetric,0.05,0.2912730072501783
4,asymmetric,0.1,0.2497999076863767
4,asymmetric,0.5,0.2947703797176635
4,asymmetric,1.5,0.2377423647020517
4,asymmetric,10,0.2714586344635608
4,asymmetric,symmetric,0.24406029973987586
5,0.05,0.05,0.31842439371100456
5,0.05,0.1,0.2910155312938476
5,0.05,0.5,0.28568568322710863
5,0.05,1.5,0.31586058033875786
5,0.05,10,0.2724948524652405
5,0.05,symmetric,0.3113062639196099
5,0.1,0.05,0.3013420179771391
5,0.1,0.1,0.2921052762726478
5,0.1,0.5,0.27992340474909305
5,0.1,1.5,0.3121656584538599
5,0.1,10,0.2550820135813222
5,0.1,symmetric,0.31917756219778304
5,0.5,0.05,0.3082959699104058
5,0.5,0.1,0.32727810163650295
5,0.5,0.5,0.33917856973724514
5,0.5,1.5,0.2965460774941337
5,0.5,10,0.3061079427771611
5,0.5,symmetric,0.3183334674467353
5,1.5,0.05,0.36241333400434084
5,1.5,0.1,0.3432955650710813
5,1.5,0.5,0.3461629564796289
5,1.5,1.5,0.3505501365558495
5,1.5,10,0.28118847071770203
5,1.5,symmetric,0.331878939411362
5,10,0.05,0.2490998489182994
5,10,0.1,0.25944181717012993
5,10,0.5,0.23550921619786275
5,10,1.5,0.21941075101035118
5,10,10,0.23494421577761773
5,10,symmetric,0.2650382156153872
5,symmetric,0.05,0.3044340640369572
5,symmetric,0.1,0.28068880569664356
5,symmetric,0.5,0.2702878341454465
5,symmetric,1.5,0.3301395039084988
5,symmetric,10,0.2592087443765996
5,symmetric,symmetric,0.30000621775902026
5,asymmetric,0.05,0.308766554712837
5,asymmetric,0.1,0.25650547182133676
5,asymmetric,0.5,0.2593746986434685
5,asymmetric,1.5,0.268775802069334
5,asymmetric,10,0.24265085215270163
5,asymmetric,symmetric,0.2957891464775573
6,0.05,0.05,0.3160151335435827
6,0.05,0.1,0.30415709852891787
6,0.05,0.5,0.3072634815654568
6,0.05,1.5,0.3059318686592591
6,0.05,10,0.24422889144801155
6,0.05,symmetric,0.28174921910489453
6,0.1,0.05,0.34345325324135284
6,0.1,0.1,0.3118905358639435
6,0.1,0.5,0.3138846637904075
6,0.1,1.5,0.29794100712832444
6,0.1,10,0.2307920650425158
6,0.1,symmetric,0.3077845563385065
6,0.5,0.05,0.3188639949511093
6,0.5,0.1,0.3278604887663969
6,0.5,0.5,0.33346639499686465
6,0.5,1.5,0.31733669103736317
6,0.5,10,0.21819878064117948
6,0.5,symmetric,0.331188757602989
6,1.5,0.05,0.341085802080737
6,1.5,0.1,0.3249623853056205
6,1.5,0.5,0.34357032821996963
6,1.5,1.5,0.3671419110387099
6,1.5,10,0.2998185863025722
6,1.5,symmetric,0.34251433354817457
6,10,0.05,0.2305882060009465
6,10,0.1,0.2284194030710275
6,10,0.5,0.2274148939568081
6,10,1.5,0.23158197540174771
6,10,10,0.2360123980556311
6,10,symmetric,0.2354540491214556
6,symmetric,0.05,0.3333099515960985
6,symmetric,0.1,0.3104014368819345
6,symmetric,0.5,0.31276131834747006
6,symmetric,1.5,0.2964477544036436
6,symmetric,10,0.2339805629599301
6,symmetric,symmetric,0.31949843666155286
6,asymmetric,0.05,0.32062154782193597
6,asymmetric,0.1,0.2412738186103883
6,asymmetric,0.5,0.3012799989064246
6,asymmetric,1.5,0.2743510642386023
6,asymmetric,10,0.25299695308432796
6,asymmetric,symmetric,0.2864030856937154
7,0.05,0.05,0.31245916759802833
7,0.05,0.1,0.30536001980222466
7,0.05,0.5,0.2994813308834908
7,0.05,1.5,0.3144212054482362
7,0.05,10,0.24469796715364325
7,0.05,symmetric,0.30890169066331075
7,0.1,0.05,0.3128989577224991
7,0.1,0.1,0.2935914898942945
7,0.1,0.5,0.3044474544606059
7,0.1,1.5,0.337764494026997
7,0.1,10,0.23734566273660732
7,0.1,symmetric,0.31009239392136073
7,0.5,0.05,0.2832505213625468
7,0.5,0.1,0.29692520644073783
7,0.5,0.5,0.3184179236197234
7,0.5,1.5,0.34717779632669254
7,0.5,10,0.2600372703591424
7,0.5,symmetric,0.296978119877836
7,1.5,0.05,0.326021977111648
7,1.5,0.1,0.31659719148332827
7,1.5,0.5,0.3404077123836287
7,1.5,1.5,0.3553904513956141
7,1.5,10,0.36238637499816245
7,1.5,symmetric,0.32773451956563643
7,10,0.05,0.21553571402848298
7,10,0.1,0.24456197985245764
7,10,0.5,0.21164402058318715
7,10,1.5,0.22263375584008255
7,10,10,0.23601239805563104
7,10,symmetric,0.22190267188537396
7,symmetric,0.05,0.32964381204969445
7,symmetric,0.1,0.29467983524176194
7,symmetric,0.5,0.3002364495945578
7,symmetric,1.5,0.3294037921184681
7,symmetric,10,0.28312517917571317
7,symmetric,symmetric,0.27873471830075564
7,asymmetric,0.05,0.28527855222224974
7,asymmetric,0.1,0.274577813527571
7,asymmetric,0.5,0.2961041158682643
7,asymmetric,1.5,0.315934512049285
7,asymmetric,10,0.2328136154970076
7,asymmetric,symmetric,0.2680580951302332
8,0.05,0.05,0.3118805259778522
8,0.05,0.1,0.294847185782085
8,0.05,0.5,0.2975091189755831
8,0.05,1.5,0.3232811529202458
8,0.05,10,0.2965621141924083
8,0.05,symmetric,0.2996206147785553
8,0.1,0.05,0.3171804454997338
8,0.1,0.1,0.3028909603983754
8,0.1,0.5,0.3031618909415388
8,0.1,1.5,0.3246811433250115
8,0.1,10,0.30257677452976434
8,0.1,symmetric,0.3026216663680186
8,0.5,0.05,0.3283694590557438
8,0.5,0.1,0.34312818838661885
8,0.5,0.5,0.30764211752264975
8,0.5,1.5,0.3266662531470833
8,0.5,10,0.22187608788984325
8,0.5,symmetric,0.3454456924280854
8,1.5,0.05,0.3155839862726124
8,1.5,0.1,0.31771774854238194
8,1.5,0.5,0.33819499374349293
8,1.5,1.5,0.3471173772673827
8,1.5,10,0.35382107698945103
8,1.5,symmetric,0.3246201260993699
8,10,0.05,0.24111452727988292
8,10,0.1,0.2285297049444994
8,10,0.5,0.2128786793468861
8,10,1.5,0.23801366107805078
8,10,10,0.30117789000006406
8,10,symmetric,0.21022815342331885
8,symmetric,0.05,0.3041091520463538
8,symmetric,0.1,0.3248309678398731
8,symmetric,0.5,0.2895841147616026
8,symmetric,1.5,0.3161059497637684
8,symmetric,10,0.28977673232625545
8,symmetric,symmetric,0.29770462366281014
8,asymmetric,0.05,0.32217567760920873
8,asymmetric,0.1,0.2833397021748723
8,asymmetric,0.5,0.2791327893357497
8,asymmetric,1.5,0.27815451603537045
8,asymmetric,10,0.21932670021150344
8,asymmetric,symmetric,0.2836414507357426
9,0.05,0.05,0.30475381529606643
9,0.05,0.1,0.30235550478229256
9,0.05,0.5,0.2884597720523691
9,0.05,1.5,0.31836956372822695
9,0.05,10,0.24270973917243374
9,0.05,symmetric,0.3076505905704632
9,0.1,0.05,0.306639179855189
9,0.1,0.1,0.29342192113285354
9,0.1,0.5,0.2941801788592392
9,0.1,1.5,0.3163399109516467
9,0.1,10,0.26817205585714454
9,0.1,symmetric,0.29525249791709596
9,0.5,0.05,0.32823480683838313
9,0.5,0.1,0.32841394064782453
9,0.5,0.5,0.27871077892970986
9,0.5,1.5,0.29609731364221104
9,0.5,10,0.22373853266944124
9,0.5,symmetric,0.33568489866440304
9,1.5,0.05,0.31677480450931994
9,1.5,0.1,0.31303473296089873
9,1.5,0.5,0.33658828200449464
9,1.5,1.5,0.3369275328254705
9,1.5,10,0.357186829205451
9,1.5,symmetric,0.3142239185417821
9,10,0.05,0.22747327596754122
9,10,0.1,0.22409629038464926
9,10,0.5,0.21824996300555685
9,10,1.5,0.22885588474954727
9,10,10,0.2360123980556311
9,10,symmetric,0.22485580160319193
9,symmetric,0.05,0.33411195346954137
9,symmetric,0.1,0.30631529249514633
9,symmetric,0.5,0.2858025776973509
9,symmetric,1.5,0.31064259468891525
9,symmetric,10,0.24487228719119183
9,symmetric,symmetric,0.29379244971787105
9,asymmetric,0.05,0.3016845198889519
9,asymmetric,0.1,0.2740641180856739
9,asymmetric,0.5,0.2870936952832176
9,asymmetric,1.5,0.2721718490382264
9,asymmetric,10,0.255065989800064
9,asymmetric,symmetric,0.29235101929510793
10,0.05,0.05,0.32448326820320583
10,0.05,0.1,0.29434601162910506
10,0.05,0.5,0.3103075847321314
10,0.05,1.5,0.2824378467346801
10,0.05,10,0.23230219055074963
10,0.05,symmetric,0.3113619736261548
10,0.1,0.05,0.32509106813971034
10,0.1,0.1,0.3183485837008011
10,0.1,0.5,0.3128324671181414
10,0.1,1.5,0.31219559351473924
10,0.1,10,0.24485270361421202
10,0.1,symmetric,0.33180062797295834
10,0.5,0.05,0.3349338126520667
10,0.5,0.1,0.33673581405729663
10,0.5,0.5,0.30725995231584347
10,0.5,1.5,0.30541681315115315
10,0.5,10,0.26216888290879203
10,0.5,symmetric,0.3353405285129122
10,1.5,0.05,0.3028430694748375
10,1.5,0.1,0.3096530059280548
10,1.5,0.5,0.3321811324667197
10,1.5,1.5,0.34091092569164594
10,1.5,10,0.26058274757949523
10,1.5,symmetric,0.3188279725287845
10,10,0.05,0.21609687918014148
10,10,0.1,0.22214729550253004
10,10,0.5,0.22310494556878466
10,10,1.5,0.232016189051451
10,10,10,0.2360123980556311
10,10,symmetric,0.22212869162167234
10,symmetric,0.05,0.32703294456241844
